"CITY","WEATHER","VISIBILITY","TEMP","TEMP_MIN","TEMP_MAX","PRESSURE","HUMIDITY","WIND_SPEED","WIND_DEG","FORECAST_DATETIME"
"Delhi","Clear",10000,31.49,31.49,31.49,1006,8,4,326,"2024-04-08 18:00:00"
"Delhi","Clear",10000,28.76,28.76,28.76,1006,9,2.49,1,"2024-04-08 21:00:00"
"Delhi","Clear",10000,27.07,27.07,27.07,1006,10,0.91,302,"2024-04-09 00:00:00"
"Delhi","Clear",10000,31.07,31.07,31.07,1009,8,1.14,172,"2024-04-09 03:00:00"
"Washington, D.C.","Clouds",10000,5.18,3.49,5.18,1013,43,2.03,291,"2024-04-04 06:00:00"
"Washington, D.C.","Clouds",10000,4.41,2.87,4.41,1013,51,1.72,299,"2024-04-04 09:00:00"
"Washington, D.C.","Clouds",10000,2.96,1.85,2.96,1012,60,1.69,296,"2024-04-04 12:00:00"
"Washington, D.C.","Clouds",10000,3.96,3.96,3.96,1009,62,1.16,303,"2024-04-04 15:00:00"
"Washington, D.C.","Rain",10000,6.2,6.2,6.2,1007,61,0.58,181,"2024-04-04 18:00:00"
"Washington, D.C.","Rain",10000,8.67,8.67,8.67,1005,61,1.8,51,"2024-04-04 21:00:00"
"Washington, D.C.","Rain",907,5.82,5.82,5.82,1005,88,1.2,27,"2024-04-05 00:00:00"
"Washington, D.C.","Rain",241,4.46,4.46,4.46,1006,96,1.47,320,"2024-04-05 03:00:00"
"Washington, D.C.","Rain",10000,3.65,3.65,3.65,1006,91,1.31,293,"2024-04-05 06:00:00"
"Washington, D.C.","Rain",10000,2.35,2.35,2.35,1006,89,1.8,290,"2024-04-05 09:00:00"
"Washington, D.C.","Clouds",10000,2.86,2.86,2.86,1006,84,1.98,303,"2024-04-05 12:00:00"
"Washington, D.C.","Clouds",10000,4.15,4.15,4.15,1005,79,1.54,299,"2024-04-05 15:00:00"
"Washington, D.C.","Clouds",10000,7.85,7.85,7.85,1006,61,1.59,349,"2024-04-05 18:00:00"
"Washington, D.C.","Clouds",10000,10.15,10.15,10.15,1005,48,2.28,342,"2024-04-05 21:00:00"
"Washington, D.C.","Clouds",10000,10.9,10.9,10.9,1005,48,3.14,327,"2024-04-06 00:00:00"
"Washington, D.C.","Clouds",10000,4.74,4.74,4.74,1008,72,2.66,300,"2024-04-06 03:00:00"
"Washington, D.C.","Clouds",10000,2.21,2.21,2.21,1011,77,2.85,288,"2024-04-06 06:00:00"
"Washington, D.C.","Clouds",10000,1.06,1.06,1.06,1012,76,2.51,285,"2024-04-06 09:00:00"
"Washington, D.C.","Clouds",10000,0.81,0.81,0.81,1014,80,2.48,285,"2024-04-06 12:00:00"
"Washington, D.C.","Clear",10000,4.03,4.03,4.03,1014,66,2.56,290,"2024-04-06 15:00:00"
"Washington, D.C.","Clouds",10000,10.27,10.27,10.27,1014,38,2.14,317,"2024-04-06 18:00:00"
"Washington, D.C.","Clouds",10000,13.15,13.15,13.15,1012,32,3.23,323,"2024-04-06 21:00:00"
"Washington, D.C.","Clouds",10000,12.07,12.07,12.07,1012,38,2.91,279,"2024-04-07 00:00:00"
"Washington, D.C.","Clouds",10000,5.02,5.02,5.02,1016,71,2.31,267,"2024-04-07 03:00:00"
"Washington, D.C.","Clouds",10000,2.13,2.13,2.13,1018,79,2.57,276,"2024-04-07 06:00:00"
"Washington, D.C.","Clear",10000,1.26,1.26,1.26,1018,81,2.21,280,"2024-04-07 09:00:00"
"Washington, D.C.","Clear",10000,0.86,0.86,0.86,1019,80,2.02,275,"2024-04-07 12:00:00"
"Washington, D.C.","Clear",10000,4.36,4.36,4.36,1019,61,1.31,291,"2024-04-07 15:00:00"
"Washington, D.C.","Clear",10000,11.14,11.14,11.14,1018,38,0.2,149,"2024-04-07 18:00:00"
"Washington, D.C.","Rain",10000,11.84,11.84,11.84,1017,38,1.65,314,"2024-04-07 21:00:00"
"Washington, D.C.","Clouds",10000,11.37,11.37,11.37,1017,37,3.08,327,"2024-04-08 00:00:00"
"Washington, D.C.","Clouds",10000,4.91,4.91,4.91,1020,62,2.57,300,"2024-04-08 03:00:00"
"Washington, D.C.","Clouds",10000,2.01,2.01,2.01,1023,77,2.29,289,"2024-04-08 06:00:00"
"Washington, D.C.","Clear",10000,0.81,0.81,0.81,1024,80,2.15,295,"2024-04-08 09:00:00"
"Washington, D.C.","Clear",10000,0.48,0.48,0.48,1024,79,1.89,299,"2024-04-08 12:00:00"
"Washington, D.C.","Clouds",10000,4.25,4.25,4.25,1024,63,1.07,336,"2024-04-08 15:00:00"
"Washington, D.C.","Clouds",10000,9.92,9.92,9.92,1022,43,1.81,88,"2024-04-08 18:00:00"
"Washington, D.C.","Clouds",10000,13.06,13.06,13.06,1019,39,2.86,98,"2024-04-08 21:00:00"
"Washington, D.C.","Clouds",10000,13.6,13.6,13.6,1017,40,1.08,34,"2024-04-09 00:00:00"
"Washington, D.C.","Clouds",10000,8.54,8.54,8.54,1019,66,1.31,278,"2024-04-09 03:00:00"
"Paris","Rain",10000,12.84,12.3,12.84,1008,91,7.51,232,"2024-04-04 06:00:00"
"Paris","Rain",10000,12.89,12.89,12.98,1009,89,7.01,232,"2024-04-04 09:00:00"
"Paris","Rain",10000,15.12,15.12,16.26,1010,75,7.26,246,"2024-04-04 12:00:00"
"Paris","Rain",10000,16.84,16.84,16.84,1011,64,6.01,244,"2024-04-04 15:00:00"
"Paris","Rain",10000,15.16,15.16,15.16,1012,72,4.55,233,"2024-04-04 18:00:00"
"Paris","Clouds",10000,14.28,14.28,14.28,1013,83,3.8,207,"2024-04-04 21:00:00"
"Paris","Clouds",10000,13.14,13.14,13.14,1012,89,3.06,189,"2024-04-05 00:00:00"
"Paris","Clouds",10000,12.69,12.69,12.69,1010,86,3.97,157,"2024-04-05 03:00:00"
"Paris","Clouds",10000,13.68,13.68,13.68,1008,74,5.44,191,"2024-04-05 06:00:00"
"Paris","Clouds",10000,15.14,15.14,15.14,1010,71,4.94,218,"2024-04-05 09:00:00"
"Paris","Clouds",10000,15.97,15.97,15.97,1011,71,6.22,213,"2024-04-05 12:00:00"
"Paris","Clouds",10000,17.68,17.68,17.68,1011,66,5.51,212,"2024-04-05 15:00:00"
"Paris","Rain",10000,15.12,15.12,15.12,1012,83,3.69,197,"2024-04-05 18:00:00"
"Paris","Clouds",10000,14.75,14.75,14.75,1012,84,3.26,152,"2024-04-05 21:00:00"
"Paris","Clouds",10000,14.13,14.13,14.13,1012,86,3.1,152,"2024-04-06 00:00:00"
"Paris","Clouds",10000,13.53,13.53,13.53,1010,83,3.84,160,"2024-04-06 03:00:00"
"Paris","Clouds",10000,13.28,13.28,13.28,1009,68,4.8,156,"2024-04-06 06:00:00"
"Paris","Clouds",10000,17.85,17.85,17.85,1008,49,5.75,166,"2024-04-06 09:00:00"
